EmployeeNumber,MonthlyIncome,IncomeBand,DailyRate,HourlyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel
1,5993,Medium Income,1102,94,19479,11,0
2,5130,Medium Income,279,61,24907,23,1
4,2090,Low Income,1373,92,2396,15,0
5,2909,Low Income,1392,56,23159,11,0
7,3468,Low Income,591,40,16632,12,1
8,3068,Low Income,1005,79,11864,13,0
10,2670,Low Income,1324,81,9964,20,3
11,2693,Low Income,1358,67,13335,22,1
12,9526,High Income,216,44,8787,21,0
13,5237,Medium Income,1299,94,16577,13,2
14,2426,Low Income,809,84,16479,13,1
15,4193,Medium Income,153,49,12682,12,0
16,2911,Low Income,670,31,15170,17,1
18,2661,Low Income,1346,93,8758,11,1
19,2028,Low Income,103,50,12947,14,0
20,9980,High Income,1389,51,10195,11,1
21,3298,Low Income,334,80,15053,12,2
22,2935,Low Income,1123,96,7324,13,2
23,15427,High Income,1219,78,22021,16,0
24,3944,Medium Income,371,45,4306,11,0
26,4011,Medium Income,673,96,8232,18,1
27,3407,Low Income,1218,82,6986,23,0
28,11994,High Income,419,53,21293,11,0
30,1232,Low Income,391,96,19281,14,0
31,2960,Low Income,699,83,17102,11,0
32,19094,High Income,1282,58,10735,11,1
33,3919,Medium Income,1125,72,4681,22,0
35,6825,High Income,691,48,21173,11,1
36,10248,High Income,477,42,2094,14,1
38,18947,High Income,705,83,22822,12,0
39,2496,Low Income,924,78,6670,11,0
40,6465,High Income,1459,41,19121,13,0
41,2206,Low Income,125,83,16117,13,0
42,2086,Low Income,895,56,3335,14,1
45,2293,Low Income,813,61,3020,16,1
46,2645,Low Income,1273,72,21923,12,2
47,2683,Low Income,869,86,3810,14,0
49,2014,Low Income,890,97,9687,13,0
51,3419,Low Income,852,82,13072,14,1
52,5376,Medium Income,1141,42,3193,19,2
53,1951,Low Income,464,75,10910,12,1
54,2341,Low Income,1240,33,19715,13,1
55,2293,Low Income,1357,48,10558,12,0
56,8726,High Income,994,37,2975,15,0
57,4011,Medium Income,721,58,10781,23,0
58,19545,High Income,1360,49,16280,12,0
60,4568,Medium Income,1065,72,10034,20,0
61,3022,Low Income,408,73,10227,21,0
62,5772,Medium Income,1211,98,20445,21,0
63,2269,Low Income,1229,36,4892,19,0
64,5381,Medium Income,626,98,19294,13,0
65,3441,Low Income,1434,50,11179,13,0
68,5454,Medium Income,1488,75,4009,21,1
70,9884,High Income,1097,79,8302,13,1
72,4157,Medium Income,1443,47,21436,19,1
73,13458,High Income,515,98,15146,12,0
74,9069,High Income,853,71,11031,22,1
75,4014,Medium Income,1142,30,16002,15,1
76,5915,Medium Income,655,48,9528,22,1
77,5993,Medium Income,1115,51,2689,18,1
78,6162,Medium Income,427,33,10877,22,1
79,2406,Low Income,653,50,5456,11,0
80,18740,High Income,989,43,16701,12,1
81,7637,High Income,1435,99,2354,11,0
83,10096,High Income,1223,59,8202,13,3
84,14756,High Income,836,33,19730,14,3
85,6499,High Income,1195,95,22656,13,0
86,9724,High Income,1339,59,18787,17,1
88,2194,Low Income,664,79,5868,13,1
90,3388,Low Income,318,79,21777,17,1
91,5473,Medium Income,1225,57,24668,11,0
94,2703,Low Income,1328,76,4956,23,1
95,2501,Low Income,1082,87,18775,17,0
96,6220,Medium Income,548,66,7346,17,2
97,3038,Low Income,132,55,22002,12,0
98,4424,Medium Income,746,61,20682,23,0
100,4312,Medium Income,776,32,23016,14,0
101,13245,High Income,193,52,15067,14,0
102,13664,High Income,397,30,25258,13,0
103,5021,Medium Income,945,80,10425,22,1
104,5126,Medium Income,852,55,15998,12,2
105,2859,Low Income,1214,30,26278,18,0
106,10239,High Income,111,70,18092,14,1
107,5329,Medium Income,573,79,15717,12,3
110,4325,Medium Income,1153,94,17736,15,0
112,7260,High Income,1400,49,21698,11,0
113,2322,Low Income,541,62,9518,13,1
116,2075,Low Income,432,96,18725,23,2
117,4152,Medium Income,288,99,15830,19,3
118,9619,High Income,669,64,13596,16,0
119,13503,High Income,530,78,14115,22,1
120,5441,Medium Income,632,71,8423,22,0
121,5209,Medium Income,1334,63,19760,12,3
124,10673,High Income,638,40,3142,13,1
125,5010,Medium Income,1093,87,24301,16,0
126,13549,High Income,1217,60,24001,12,1
128,4999,Medium Income,1353,33,17519,21,1
129,4221,Medium Income,120,43,8863,15,0
