EmployeeNumber,Age,AgeGroup,Gender,MaritalStatus,Education,EducationField,DistanceFromHome
1,41,36-45,Female,Single,2,Life Sciences,1
2,49,46+,Male,Married,1,Life Sciences,8
4,37,36-45,Male,Single,2,Other,2
5,33,26-35,Female,Married,4,Life Sciences,3
7,27,26-35,Male,Married,1,Medical,2
8,32,26-35,Male,Single,2,Life Sciences,2
10,59,46+,Female,Married,3,Medical,3
11,30,26-35,Male,Divorced,1,Life Sciences,24
12,38,36-45,Male,Single,3,Life Sciences,23
13,36,36-45,Male,Married,3,Medical,27
14,35,26-35,Male,Married,3,Medical,16
15,29,26-35,Female,Single,2,Life Sciences,15
16,31,26-35,Male,Divorced,1,Life Sciences,26
18,34,26-35,Male,Divorced,2,Medical,19
19,28,26-35,Male,Single,3,Life Sciences,24
20,29,26-35,Female,Divorced,4,Life Sciences,21
21,32,26-35,Male,Divorced,2,Life Sciences,5
22,22,18-25,Male,Divorced,2,Medical,16
23,53,46+,Female,Married,4,Life Sciences,2
24,38,36-45,Male,Single,3,Life Sciences,2
26,24,18-25,Female,Divorced,2,Other,11
27,36,36-45,Male,Single,4,Life Sciences,9
28,34,26-35,Female,Single,4,Life Sciences,7
30,21,18-25,Male,Single,2,Life Sciences,15
31,34,26-35,Male,Single,1,Medical,6
32,53,46+,Female,Divorced,3,Other,5
33,32,26-35,Female,Single,1,Life Sciences,16
35,42,36-45,Male,Married,4,Marketing,8
36,44,36-45,Female,Married,4,Medical,7
38,46,46+,Female,Single,4,Marketing,2
39,33,26-35,Male,Single,3,Medical,2
40,44,36-45,Male,Married,4,Other,10
41,30,26-35,Male,Single,2,Medical,9
42,39,36-45,Male,Married,3,Technical Degree,5
45,24,18-25,Male,Married,3,Medical,1
46,43,36-45,Female,Divorced,2,Medical,2
47,50,46+,Male,Married,2,Marketing,3
49,35,26-35,Female,Married,3,Marketing,2
51,36,36-45,Female,Married,4,Life Sciences,5
52,33,26-35,Female,Married,3,Life Sciences,1
53,35,26-35,Male,Divorced,2,Other,4
54,27,26-35,Female,Divorced,4,Life Sciences,2
55,26,26-35,Male,Single,3,Life Sciences,25
56,27,26-35,Male,Single,3,Life Sciences,8
57,30,26-35,Female,Single,2,Medical,1
58,41,36-45,Female,Married,3,Technical Degree,12
60,34,26-35,Male,Single,4,Marketing,23
61,37,36-45,Male,Married,2,Life Sciences,19
62,46,46+,Male,Single,4,Marketing,5
63,35,26-35,Male,Married,1,Life Sciences,8
64,48,46+,Male,Single,2,Life Sciences,1
65,28,26-35,Male,Single,4,Technical Degree,5
68,44,36-45,Female,Divorced,5,Marketing,1
70,35,26-35,Male,Married,2,Medical,11
72,26,26-35,Female,Married,3,Marketing,23
73,33,26-35,Female,Single,2,Life Sciences,1
74,35,26-35,Male,Married,5,Life Sciences,18
75,35,26-35,Female,Married,4,Medical,23
76,31,26-35,Male,Divorced,4,Life Sciences,7
77,37,36-45,Male,Divorced,4,Life Sciences,1
78,32,26-35,Male,Married,3,Medical,1
79,38,36-45,Female,Single,5,Life Sciences,29
80,50,46+,Female,Divorced,2,Medical,7
81,59,46+,Female,Single,3,Life Sciences,25
83,36,36-45,Female,Divorced,3,Technical Degree,8
84,55,46+,Female,Divorced,3,Medical,8
85,36,36-45,Male,Single,3,Life Sciences,11
86,45,36-45,Male,Divorced,3,Life Sciences,7
88,35,26-35,Male,Married,3,Medical,1
90,36,36-45,Male,Married,3,Medical,9
91,59,46+,Female,Single,1,Life Sciences,1
94,29,26-35,Male,Married,3,Life Sciences,2
95,31,26-35,Male,Single,4,Medical,1
96,32,26-35,Male,Married,3,Life Sciences,1
97,36,36-45,Female,Married,3,Life Sciences,6
98,31,26-35,Female,Single,4,Life Sciences,8
100,35,26-35,Male,Single,4,Marketing,1
101,45,36-45,Male,Married,4,Other,6
102,37,36-45,Male,Single,4,Medical,7
103,46,46+,Male,Divorced,2,Medical,5
104,30,26-35,Male,Married,1,Life Sciences,1
105,35,26-35,Male,Single,3,Medical,1
106,55,46+,Male,Married,2,Life Sciences,1
107,38,36-45,Female,Divorced,3,Medical,6
110,34,26-35,Male,Married,2,Medical,1
112,56,46+,Male,Single,3,Life Sciences,7
113,23,18-25,Male,Divorced,1,Technical Degree,2
116,51,46+,Male,Married,4,Life Sciences,9
117,30,26-35,Male,Married,3,Life Sciences,2
118,46,46+,Male,Single,2,Medical,9
119,40,36-45,Male,Married,4,Life Sciences,1
120,51,46+,Male,Single,4,Marketing,21
121,30,26-35,Female,Divorced,2,Medical,4
124,46,46+,Male,Married,3,Medical,1
125,32,26-35,Male,Single,4,Medical,6
126,54,46+,Female,Married,4,Technical Degree,2
128,24,18-25,Female,Married,2,Other,3
129,28,26-35,Male,Married,3,Medical,4
131,58,46+,Male,Single,4,Medical,10
132,44,36-45,Male,Married,3,Medical,23
133,37,36-45,Male,Divorced,4,Human Resources,6
134,32,26-35,Male,Single,1,Life Sciences,1
137,20,18-25,Female,Single,3,Life Sciences,6
138,34,26-35,Female,Single,4,Other,6
139,37,36-45,Male,Divorced,2,Life Sciences,2
140,59,46+,Female,Married,4,Human Resources,2
141,50,46+,Female,Married,3,Life Sciences,1
142,25,18-25,Male,Single,3,Marketing,5
