EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,SatisfactionCategory,AvgSatisfaction,SatisfactionID
2,4,1,1,Medium,2.3333333333333335,1
3,2,4,3,Medium,3.0,2
4,3,2,3,Medium,3.0,3
4,3,3,3,High,3.3333333333333335,4
1,2,4,3,Medium,2.3333333333333335,5
4,4,3,2,High,3.6666666666666665,6
3,1,1,2,Low,1.6666666666666667,7
3,3,2,2,Medium,2.6666666666666665,8
1,2,3,3,Low,2.0,9
4,3,4,3,High,3.6666666666666665,10
1,3,4,2,Medium,2.6666666666666665,11
2,4,3,3,Medium,3.0,12
3,3,2,3,Medium,2.6666666666666665,13
2,1,3,3,Low,2.0,14
1,2,4,2,Medium,2.3333333333333335,15
4,4,2,2,High,3.3333333333333335,16
1,4,3,3,Medium,2.6666666666666665,17
4,4,3,3,High,3.6666666666666665,18
3,1,2,3,Low,2.0,19
3,4,4,3,High,3.6666666666666665,20
3,3,4,2,High,3.3333333333333335,21
2,1,2,3,Low,1.6666666666666667,22
1,4,4,3,Medium,3.0,23
2,1,4,2,Medium,2.3333333333333335,24
4,4,4,4,High,4.0,25
4,3,1,3,Medium,2.6666666666666665,26
4,4,3,4,High,3.6666666666666665,27
2,4,1,2,Medium,2.3333333333333335,28
4,3,4,2,High,3.6666666666666665,29
1,3,3,3,Medium,2.3333333333333335,30
4,4,1,3,Medium,3.0,31
2,1,4,4,Medium,2.3333333333333335,32
3,1,1,3,Low,1.6666666666666667,33
3,4,3,3,High,3.3333333333333335,34
4,1,4,3,Medium,3.0,35
1,3,3,2,Medium,2.3333333333333335,36
2,3,4,3,Medium,3.0,37
2,3,3,3,Medium,2.6666666666666665,38
2,2,1,3,Low,1.6666666666666667,39
4,4,4,3,High,4.0,40
1,3,4,3,Medium,2.6666666666666665,41
3,3,3,2,Medium,3.0,42
2,1,3,2,Low,2.0,43
3,1,3,3,Medium,2.3333333333333335,44
3,4,3,2,High,3.3333333333333335,45
4,4,4,2,High,4.0,46
1,3,3,4,Medium,2.3333333333333335,47
1,4,2,3,Medium,2.3333333333333335,48
2,3,4,2,Medium,3.0,49
1,1,4,2,Low,2.0,50
2,2,3,3,Medium,2.3333333333333335,51
4,3,1,2,Medium,2.6666666666666665,52
3,2,2,3,Medium,2.3333333333333335,53
2,2,2,3,Low,2.0,54
2,4,2,3,Medium,2.6666666666666665,55
4,1,2,4,Medium,2.3333333333333335,56
1,3,1,4,Low,1.6666666666666667,57
2,2,4,3,Medium,2.6666666666666665,58
2,3,1,3,Low,2.0,59
2,4,4,3,High,3.3333333333333335,60
4,4,1,2,Medium,3.0,61
4,4,2,3,High,3.3333333333333335,62
3,4,1,3,Medium,2.6666666666666665,63
3,2,4,2,Medium,3.0,64
3,4,4,1,High,3.6666666666666665,65
3,2,2,2,Medium,2.3333333333333335,66
3,1,3,2,Medium,2.3333333333333335,67
1,3,1,1,Low,1.6666666666666667,68
1,3,1,2,Low,1.6666666666666667,69
2,3,2,4,Medium,2.3333333333333335,70
4,3,3,2,High,3.3333333333333335,71
2,2,3,4,Medium,2.3333333333333335,72
3,1,4,3,Medium,2.6666666666666665,73
3,4,4,4,High,3.6666666666666665,74
1,2,1,2,Low,1.3333333333333333,75
3,3,4,3,High,3.3333333333333335,76
1,1,3,2,Low,1.6666666666666667,77
3,2,3,3,Medium,2.6666666666666665,78
1,4,1,3,Low,2.0,79
3,2,1,4,Low,2.0,80
2,3,2,2,Medium,2.3333333333333335,81
3,2,3,2,Medium,2.6666666666666665,82
3,3,3,3,Medium,3.0,83
4,3,3,4,High,3.3333333333333335,84
1,1,1,4,Low,1.0,85
3,4,2,2,Medium,3.0,86
4,1,2,2,Medium,2.3333333333333335,87
3,2,1,3,Low,2.0,88
2,3,4,1,Medium,3.0,89
2,2,3,1,Medium,2.3333333333333335,90
2,2,2,2,Low,2.0,91
3,4,1,2,Medium,2.6666666666666665,92
