EmployeeNumber,DepartmentID,SatisfactionID,Attrition,AttritionFlag,OverTime,OvertimeRisk,YearsAtCompany,TenureCategory,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,BusinessTravel,JobLevel,JobInvolvement,AttritionRiskScore,RetentionSegment
1,1,1,Yes,1,Yes,High Risk,6,Mid Tenure,8,4,0,5,8,0,3,Travel_Rarely,2,3,3,Safe
2,2,2,No,0,No,Low Risk,10,Long Tenure,10,7,1,7,1,3,4,Travel_Frequently,2,2,0,Safe
4,3,3,Yes,1,Yes,High Risk,0,New Employee,7,0,0,0,6,3,3,Travel_Rarely,1,2,5,At Risk
5,2,4,No,0,Yes,High Risk,8,Long Tenure,8,7,3,0,1,3,3,Travel_Frequently,1,3,5,At Risk
7,3,5,No,0,No,Low Risk,2,New Employee,6,2,2,2,9,3,3,Travel_Rarely,1,3,2,Safe
8,3,6,No,0,No,Low Risk,7,Mid Tenure,8,7,3,6,0,2,3,Travel_Frequently,1,3,2,Safe
10,3,7,No,0,Yes,High Risk,1,New Employee,12,0,0,0,4,3,4,Travel_Rarely,1,4,8,Flight Risk
11,3,3,No,0,No,Low Risk,1,New Employee,1,0,0,0,1,2,4,Travel_Rarely,1,3,2,Safe
12,4,3,No,0,No,Low Risk,9,Long Tenure,10,7,1,8,0,2,4,Travel_Frequently,3,2,0,Safe
13,5,8,No,0,No,Low Risk,7,Mid Tenure,17,7,7,7,6,3,3,Travel_Rarely,2,3,1,Safe
14,3,9,No,0,No,Low Risk,5,Mid Tenure,6,4,0,3,0,5,3,Travel_Rarely,1,4,5,At Risk
15,3,10,No,0,Yes,High Risk,9,Long Tenure,10,5,0,8,0,3,3,Travel_Rarely,2,2,3,Safe
16,2,11,No,0,No,Low Risk,5,Mid Tenure,5,2,4,3,1,1,3,Travel_Rarely,1,3,3,Safe
18,3,12,No,0,No,Low Risk,2,New Employee,3,2,1,2,0,2,3,Travel_Rarely,1,3,2,Safe
19,3,13,Yes,1,Yes,High Risk,4,Mid Tenure,6,2,0,3,5,4,3,Travel_Rarely,1,2,5,At Risk
20,4,14,No,0,No,Low Risk,10,Long Tenure,10,9,8,8,1,1,3,Travel_Rarely,3,4,4,At Risk
21,2,15,No,0,Yes,High Risk,6,Mid Tenure,7,2,0,5,0,5,3,Travel_Rarely,1,4,5,At Risk
22,3,16,No,0,Yes,High Risk,1,New Employee,1,0,0,0,1,2,3,Non-Travel,1,4,6,At Risk
23,6,17,No,0,No,Low Risk,25,Long Tenure,31,8,3,7,2,3,3,Travel_Rarely,4,2,0,Safe
24,2,18,No,0,Yes,High Risk,3,Mid Tenure,6,2,1,2,5,3,3,Travel_Rarely,1,3,3,Safe
26,4,11,No,0,No,Low Risk,4,Mid Tenure,5,2,1,3,0,5,3,Non-Travel,2,4,1,Safe
27,7,19,Yes,1,No,Low Risk,5,Mid Tenure,10,3,0,3,7,4,4,Travel_Rarely,1,2,5,At Risk
28,8,9,No,0,No,Low Risk,12,Long Tenure,13,6,2,11,0,4,3,Travel_Rarely,3,3,3,Safe
30,2,20,No,0,No,Low Risk,0,New Employee,0,0,0,0,1,6,3,Travel_Rarely,1,3,3,Safe
31,2,14,Yes,1,No,Low Risk,4,Mid Tenure,8,2,1,3,2,2,3,Travel_Rarely,1,3,5,At Risk
32,9,21,No,0,No,Low Risk,14,Long Tenure,26,13,4,8,4,3,3,Travel_Rarely,5,3,1,Safe
33,2,22,Yes,1,Yes,High Risk,10,Long Tenure,10,2,6,7,1,5,4,Travel_Frequently,1,1,7,Flight Risk
35,1,2,No,0,No,Low Risk,9,Long Tenure,10,7,4,2,0,2,3,Travel_Rarely,2,3,1,Safe
36,5,23,No,0,No,Low Risk,22,Long Tenure,24,6,5,17,3,4,3,Travel_Rarely,3,2,1,Safe
38,6,24,No,0,No,Low Risk,2,New Employee,22,2,2,1,3,2,3,Travel_Rarely,5,3,0,Safe
39,3,20,No,0,No,Low Risk,1,New Employee,7,1,0,0,4,3,3,Travel_Rarely,1,3,2,Safe
40,5,25,No,0,Yes,High Risk,4,Mid Tenure,9,2,1,3,2,5,3,Travel_Rarely,2,3,3,Safe
41,3,26,No,0,No,Low Risk,10,Long Tenure,10,0,1,8,1,5,3,Travel_Rarely,1,2,2,Safe
42,7,27,Yes,1,No,Low Risk,1,New Employee,19,0,0,0,3,6,3,Travel_Rarely,2,3,2,Safe
45,2,28,Yes,1,Yes,High Risk,2,New Employee,6,0,2,0,2,2,3,Travel_Rarely,1,3,6,At Risk
46,2,29,No,0,No,Low Risk,5,Mid Tenure,6,3,1,4,1,3,3,Travel_Rarely,1,4,2,Safe
47,7,30,Yes,1,Yes,High Risk,3,Mid Tenure,3,2,0,2,1,2,3,Travel_Rarely,1,2,5,At Risk
49,7,31,No,0,No,Low Risk,2,New Employee,2,2,2,2,1,3,3,Travel_Rarely,1,3,2,Safe
51,2,32,No,0,Yes,High Risk,1,New Employee,6,1,0,0,9,3,3,Travel_Rarely,1,2,5,At Risk
52,1,33,No,0,No,Low Risk,5,Mid Tenure,10,3,1,3,2,3,3,Travel_Frequently,2,4,3,Safe
53,3,34,No,0,No,Low Risk,1,New Employee,1,0,0,0,1,3,3,Travel_Rarely,1,3,2,Safe
54,3,35,No,0,No,Low Risk,1,New Employee,1,0,0,0,1,6,3,Travel_Rarely,1,3,2,Safe
55,3,36,Yes,1,No,Low Risk,1,New Employee,1,0,0,1,1,2,3,Travel_Rarely,1,1,2,Safe
56,1,10,No,0,No,Low Risk,9,Long Tenure,9,8,1,7,1,0,3,Travel_Frequently,3,3,0,Safe
57,3,20,No,0,No,Low Risk,12,Long Tenure,12,8,3,7,1,2,4,Travel_Frequently,2,3,0,Safe
58,8,37,Yes,1,No,Low Risk,22,Long Tenure,23,15,15,8,1,0,3,Travel_Rarely,5,3,1,Safe
60,1,38,No,0,No,Low Risk,9,Long Tenure,10,5,8,7,0,2,4,Non-Travel,2,3,1,Safe
61,2,39,No,0,No,Low Risk,1,New Employee,8,0,0,0,4,1,4,Travel_Rarely,1,3,5,At Risk
62,1,17,No,0,Yes,High Risk,9,Long Tenure,14,6,0,8,4,4,4,Travel_Frequently,2,3,3,Safe
63,3,40,No,0,No,Low Risk,1,New Employee,1,0,0,1,1,2,3,Travel_Rarely,1,4,2,Safe
64,3,41,Yes,1,Yes,High Risk,1,New Employee,23,0,0,0,9,2,3,Travel_Rarely,3,2,3,Safe
65,3,42,Yes,1,Yes,High Risk,2,New Employee,2,2,2,2,1,3,3,Travel_Rarely,1,3,5,At Risk
68,1,43,No,0,Yes,High Risk,4,Mid Tenure,9,3,1,3,5,2,4,Travel_Rarely,2,3,6,At Risk
70,5,44,No,0,Yes,High Risk,4,Mid Tenure,10,0,2,3,2,3,3,Non-Travel,3,2,3,Safe
72,1,45,No,0,Yes,High Risk,2,New Employee,5,2,0,0,7,2,3,Travel_Rarely,2,2,3,Safe
73,8,17,No,0,Yes,High Risk,15,Long Tenure,15,14,8,12,1,1,3,Travel_Frequently,3,3,4,At Risk
74,1,24,No,0,No,Low Risk,9,Long Tenure,9,8,1,8,1,3,4,Travel_Frequently,3,3,0,Safe
75,3,44,No,0,Yes,High Risk,2,New Employee,4,2,2,2,3,3,3,Travel_Rarely,1,3,3,Safe
76,3,46,No,0,No,Low Risk,7,Mid Tenure,10,7,1,7,3,3,4,Travel_Rarely,2,3,0,Safe
77,4,47,No,0,No,Low Risk,7,Mid Tenure,7,5,0,7,1,2,3,Travel_Rarely,2,2,0,Safe
78,4,48,No,0,Yes,High Risk,9,Long Tenure,9,8,7,8,1,3,4,Travel_Rarely,2,3,4,At Risk
79,3,40,No,0,No,Low Risk,10,Long Tenure,10,3,9,9,1,2,3,Travel_Frequently,2,3,3,Safe
80,8,49,No,0,Yes,High Risk,27,Long Tenure,29,3,13,8,5,2,3,Travel_Rarely,5,2,4,At Risk
81,1,50,No,0,No,Low Risk,21,Long Tenure,28,16,7,9,7,3,3,Travel_Rarely,3,3,4,At Risk
83,5,13,No,0,No,Low Risk,17,Long Tenure,17,14,12,8,1,2,3,Travel_Rarely,3,3,1,Safe
84,9,4,No,0,Yes,High Risk,5,Mid Tenure,21,0,0,2,2,2,3,Travel_Rarely,4,3,3,Safe
